index,0,1,2,3,4,5,6,7,8,9,10
0,1.0,0.5027959,0.4313496,0.39533228,0.6139452,0.60556316,0.4615122,0.49872863,0.4102845,0.5641369,0.5879753
1,0.5027959,1.0000001,0.7175836,0.3780901,0.5752622,0.62666464,0.372529,0.6256605,0.393581,0.5698732,0.6063408
2,0.4313496,0.7175836,1.0,0.39798167,0.6029865,0.6229601,0.46791422,0.4088413,0.48005638,0.49983802,0.5026705
3,0.39533228,0.3780901,0.39798167,1.0000001,0.6585139,0.6340158,0.7079638,0.511779,0.5405866,0.47411025,0.72655696
4,0.6139452,0.5752622,0.6029865,0.6585139,0.99999994,0.8778652,0.632237,0.52477413,0.40597203,0.7699305,0.86372584
5,0.60556316,0.62666464,0.6229601,0.6340158,0.8778652,1.0,0.76102024,0.5312111,0.4476654,0.8086505,0.8226235
6,0.4615122,0.372529,0.46791422,0.7079638,0.632237,0.76102024,0.99999994,0.4921077,0.5771869,0.7670927,0.7422048
7,0.49872863,0.6256605,0.4088413,0.511779,0.52477413,0.5312111,0.4921077,1.0,0.7889479,0.5286904,0.6742999
8,0.4102845,0.393581,0.48005638,0.5405866,0.40597203,0.4476654,0.5771869,0.7889479,1.0,0.36440253,0.5438112
9,0.5641369,0.5698732,0.49983802,0.47411025,0.7699305,0.8086505,0.7670927,0.5286904,0.36440253,0.9999999,0.7742283
10,0.5879753,0.6063408,0.5026705,0.72655696,0.86372584,0.8226235,0.7422048,0.6742999,0.5438112,0.7742283,1.0
